Year,State,Governor
2003,Louisiana,"M.J.  ""Mike"" Foster Jr" (R)
2003,Maine,John Baldacci (D)
2003,Maryland,Robert Ehrlich (R)
2003,Massachusetts,Mitt Romney (R)
2003,Michigan,Jennifer Granholm (D)
2003,Minnesota,Tim Pawlenty (R)
2003,Mississippi,Ronnie Musgrove (D)
2003,Missoun,Bob Holden (D)
2003,Montana,Judy Martz (R)
2003,Nebraska,Mike Johanns (R)
2003,Nevada,Kenny C. Guinn (R)
2003,New Hampshire,Craig Benson (R)
2003,New Jersey,James E. McGreevey (D)
2003,New Mexico,Bill Richardson (D)
2003,New York,George E. Potaki (R)
2003,North Carolina,Michael F. Easley (D)
2003,North Dakota,John lloeven (R)
2003,Northern Mariana Is.,Juan N. Babauta (R)
2003,Ohio,Bob Toft (R)
2003,Oklahoma,Brad Henry (D)
2003,Oregon,Ted Kulongoski (D)
2003,Pennsylvania,Edward G. Randall (D)
2003,Puerto Rico,Sila M. Calderon (PD)
2003,Rhode Island,Don Carcieri (R)
2003,South Carolina,Mark Sanford (R)
2003,South Dakota,Michael Rounds (R)
2003,Tennessee,Phil Bredesen (D)
2003,Texas,Rick Perry (R)
2003,Utah,Olene Walker (R)
2003,Vermont,Jim Douglas (R)
2003,Virginia,Mark R. Warner (D)
2003,Virgin Islands,Charles W Turnbull (D)
2003,Washington,Gary Locke (D)
2003,West Virginia,Bob Wise (D)
2003,Wisconsin,Jim Doyle (D)
2003,Wyoming,David Freudenthal (D)
