industry_code,industry,national_fatals_total,states_fatals_sum,pct_coverage,all_states_count,fatal_states_count
81232X,Drycleaning And Laundry Services (Except Coin-Operated),40,4,10,52,4
8123XX,Drycleaning And Laundry Services,110,11,10,52,8
92312X,Administration Of Public Health Programs,10,1,10,52,1
3329XX,Other Fabricated Metal Product Manufacturing,59,6,10.169491525423728814,50,4
488119,Other Airport Operations,39,4,10.25641025641025641,41,1
5614XX,Business Support Services,39,4,10.25641025641025641,52,4
62311X,Nursing Care Facilities,78,8,10.25641025641025641,52,5
6231XX,Nursing Care Facilities,78,8,10.25641025641025641,52,5
451XXX,"Sporting Goods, Hobby, Book, And Music Stores",87,9,10.344827586206896552,52,6
8114XX,Personal And Household Goods Repair And Maintenance,77,8,10.38961038961038961,52,5
4236XX,Electrical And Electronic Goods Merchant Wholesalers,38,4,10.526315789473684211,52,3
5231XX,Securities And Commodity Contracts Intermediation And Brokerage,19,2,10.526315789473684211,52,1
56291X,Remediation Services,57,6,10.526315789473684211,52,2
721214,Recreational And Vacation Camps (Except Campgrounds),38,4,10.526315789473684211,50,4
22131X,Water Supply And Irrigation Systems,85,9,10.588235294117647059,51,6
3219XX,Other Wood Product Manufacturing,94,10,10.638297872340425532,50,6
71219X,Nature Parks And Other Similar Institutions,47,5,10.638297872340425532,51,1
331511,Iron Foundries,28,3,10.714285714285714286,28,2
42361X,"Electrical Apparatus And Equipment, Wiring Supplies, And Related Equipment Merchant  Wholesalers",28,3,10.714285714285714286,52,2
532111,Passenger Car Rental,28,3,10.714285714285714286,47,3
53229X,Other Consumer Goods Rental,28,3,10.714285714285714286,52,3
337XXX,Furniture And Related Product Manufacturing,74,8,10.810810810810810811,52,4
5223XX,Activities Related To Credit Intermediation,37,4,10.810810810810810811,52,2
